alpha_id,fitness,sharpe,returns,turnover,expression,description
88pxxpdW,0.8600,1.9300,0.090400,0.452800,"group_neutralize(rank(ts_rank(short_term_price_change_2; 3)) * rank(1 - ts_rank(returns; 60)); industry)","Step3.5: Dual rank + neutralize(industry) | CMF=3; Rev=60"
vRNX79Aw,0.8600,1.9300,0.090100,0.452500,"group_neutralize(rank(ts_rank(short_term_price_change_2; 3)) * rank(1 - ts_rank(returns; 60)); subindustry)","Step3.5: Dual rank + neutralize(subindustry) | CMF=3; Rev=60"
RRmwvAa1,0.8500,1.9600,0.085200,0.458100,"group_neutralize(rank(ts_rank(short_term_price_change_2; 3)) * rank(1 - ts_rank(returns; 20)); industry)","Step3.5: Dual rank + neutralize(industry) | CMF=3; Rev=20"
gJ8V5Lxe,0.8400,1.9500,0.084800,0.457700,"group_neutralize(rank(ts_rank(short_term_price_change_2; 3)) * rank(1 - ts_rank(returns; 20)); subindustry)","Step3.5: Dual rank + neutralize(subindustry) | CMF=3; Rev=20"
d5ZJ50ex,0.8400,1.8700,0.080700,0.401900,"group_neutralize(rank(ts_rank(short_term_price_change_2; 5)) * rank(1 - ts_rank(returns; 60)); industry)","Step3.5: Dual rank + neutralize(industry) | CMF=5; Rev=60"
0mpZOQzk,0.8300,1.8600,0.080400,0.401600,"group_neutralize(rank(ts_rank(short_term_price_change_2; 5)) * rank(1 - ts_rank(returns; 60)); subindustry)","Step3.5: Dual rank + neutralize(subindustry) | CMF=5; Rev=60"
A1G8oQ1Q,0.8100,1.8700,0.075700,0.406300,"group_neutralize(rank(ts_rank(short_term_price_change_2; 5)) * rank(1 - ts_rank(returns; 20)); industry)","Step3.5: Dual rank + neutralize(industry) | CMF=5; Rev=20"
88pWm3Pl,0.8100,1.8700,0.075400,0.406000,"group_neutralize(rank(ts_rank(short_term_price_change_2; 5)) * rank(1 - ts_rank(returns; 20)); subindustry)","Step3.5: Dual rank + neutralize(subindustry) | CMF=5; Rev=20"
88pxYQ1o,0.7800,1.6200,0.055900,0.240900,"ts_rank(short_term_price_change_2; 22) * (1 - ts_rank(returns; 60))","Param: CMF_window=22; Reversal_window=60"
leWwX2aO,0.7600,1.6900,0.066500,0.330300,"group_neutralize(rank(ts_rank(short_term_price_change_2; 10)) * rank(1 - ts_rank(returns; 60)); industry)","Step3.5: Dual rank + neutralize(industry) | CMF=10; Rev=60"
9qp50eLd,0.7600,1.6900,0.066300,0.330000,"group_neutralize(rank(ts_rank(short_term_price_change_2; 10)) * rank(1 - ts_rank(returns; 60)); subindustry)","Step3.5: Dual rank + neutralize(subindustry) | CMF=10; Rev=60"
KPGMZed1,0.7500,1.8600,0.077000,0.473100,"group_neutralize(rank(ts_rank(short_term_price_change_2; 3)) * rank(1 - ts_rank(returns; 10)); industry)","Step3.5: Dual rank + neutralize(industry) | CMF=3; Rev=10"
blQ1Klxq,0.7500,1.8500,0.076800,0.472800,"group_neutralize(rank(ts_rank(short_term_price_change_2; 3)) * rank(1 - ts_rank(returns; 10)); subindustry)","Step3.5: Dual rank + neutralize(subindustry) | CMF=3; Rev=10"
YPv3Pd9v,0.7400,1.7600,0.065700,0.375300,"group_neutralize(ts_rank(short_term_price_change_2; 5) * (1 - ts_rank(returns; 60)); industry)","Step3.3: group_neutralize(industry) | CMF=5; Rev=60"
N1blzmoL,0.7300,1.7500,0.065400,0.372200,"ts_rank(short_term_price_change_2; 5) * (1 - ts_rank(returns; 60))","Param: CMF_window=5; Reversal_window=60"
ak19zZOW,0.7300,1.7700,0.063600,0.377400,"ts_rank(short_term_price_change_2; 5) * (1 - ts_rank(returns; 20))","Param: CMF_window=5; Reversal_window=20"
leWPG00e,0.7300,1.6600,0.059000,0.303300,"ts_rank(short_term_price_change_2; 10) * (1 - ts_rank(returns; 60))","Param: CMF_window=10; Reversal_window=60"
